"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4ce5ece6b1a819a85d741d"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"4.41E-1%",,,,,,,,,,"",,"154.791154791155h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5f1e6b1a819a85d741f"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"7.84E-1%",,,,,,,,,,"",,"288.943488943489h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5f9e6b1a819a85d7421"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"1.12E+0%",,,,,,,,,,"",,"319.90171990172h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce5fde6b1a819a85d7423"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"2.96E+0%",,,,,,,,,,"",,"374.938574938575h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce602e6b1a819a85d7425"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"5.05E+0%",,,,,,,,,,"",,"388.697788697789h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce607e6b1a819a85d7427"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"4.37E+0%",,,,,,,,,,"",,"388.697788697789h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce60ce6b1a819a85d7429"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"5.82E+0%",,,,,,,,,,"",,"395.577395577396h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce611e6b1a819a85d742b"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"3.39E-1%",,,,,,,,,,"",,"20.6388206388206h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce616e6b1a819a85d742d"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"7.08E+0%",,,,,,,,,,"",,"402.457002457002h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce61ae6b1a819a85d742f"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"5.40E-1%",,,,,,,,,,"",,"220.14742014742h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce61fe6b1a819a85d7431"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"1.75E+0%",,,,,,,,,,"",,"343.980343980344h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce624e6b1a819a85d7433"")","5.6",,,,,,,,,,,"5.6%wt.%","2.8","0.1",,"2.8","1.0","Bal","4.7","5.0","5.6",,"5.6",,"3.90E-1%",,,,,,,,,,"",,"85.995085995086h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138NbRu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce62fe6b1a819a85d7435"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"4.76E+0%",,,,,,,,,,"",,"416.216216216216h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce633e6b1a819a85d7437"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"7.42E+0%",,,,,,,,,,"",,"412.776412776413h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce638e6b1a819a85d7439"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"6.11E+0%",,,,,,,,,,"",,"416.216216216216h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce63de6b1a819a85d743b"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"2.94E-1%",,,,,,,,,,"",,"99.7542997542998h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce642e6b1a819a85d743d"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"1.22E+1%",,,,,,,,,,"",,"429.97542997543h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce647e6b1a819a85d743f"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"6.86E-1%",,,,,,,,,,"",,"247.665847665848h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce64ce6b1a819a85d7441"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"5.87E-1%",,,,,,,,,,"",,"182.309582309582h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce651e6b1a819a85d7443"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"1.42E+0%",,,,,,,,,,"",,"378.378378378378h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce656e6b1a819a85d7445"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"4.40E-1%",,,,,,,,,,"",,"141.031941031941h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce65be6b1a819a85d7447"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"8.34E-1%",,,,,,,,,,"",,"323.341523341523h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce660e6b1a819a85d7449"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"3.40E+0%",,,,,,,,,,"",,"405.896805896806h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce664e6b1a819a85d744b"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"2.34E+0%",,,,,,,,,,"",,"392.137592137592h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce669e6b1a819a85d744d"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"2.92E-1%",,,,,,,,,,"",,"44.7174447174447h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce66ee6b1a819a85d744f"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"8.87E+0%",,,,,,,,,,"",,"423.095823095823h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce673e6b1a819a85d7451"")","5.8",,,,,,,,,,,"5.8%wt.%","2.9","0.1","3.0","2.9",,"Bal","4.9",,"5.5",,"5.8",,"1.07E+1%",,,,,,,,,,"",,"423.095823095823h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce67de6b1a819a85d7453"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"4.38E+0%",,,,,,,,,,"",,"411.745345119428h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce682e6b1a819a85d7455"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"7.69E-1%",,,,,,,,,,"",,"253.465299981192h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce687e6b1a819a85d7457"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"6.25E-1%",,,,,,,,,,"",,"181.549746097423h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce68be6b1a819a85d7459"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"7.07E+0%",,,,,,,,,,"",,"419.205692433076h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce690e6b1a819a85d745b"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"9.13E-1%",,,,,,,,,,"",,"335.649802520218h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce695e6b1a819a85d745d"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"3.61E+0%",,,,,,,,,,"",,"408.146824650492h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce69ae6b1a819a85d745f"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"6.73E+0%",,,,,,,,,,"",,"429.397843395398h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce69fe6b1a819a85d7461"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"5.62E+0%",,,,,,,,,,"",,"418.876559463357h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6a4e6b1a819a85d7463"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"1.73E+0%",,,,,,,,,,"",,"394.027020249514h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6a9e6b1a819a85d7465"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"1.35E+0%",,,,,,,,,,"",,"366.555388376904h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6ade6b1a819a85d7467"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"5.29E-1%",,,,,,,,,,"",,"113.068146197731h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6b2e6b1a819a85d7469"")","5.7",,,,,,,,,,,"3.0%wt.%","2.0","0.03",,"0.4","0.1","Bal","6.0",,"8.0","0.2","5.0",,"5.27E+0%",,,,,,,,,,"",,"333.660933660934h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"CMSX-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6b7e6b1a819a85d746b"")","5.7",,,,,,,,,,,"3.0%wt.%","2.0","0.03",,"0.4","0.1","Bal","6.0",,"8.0","0.2","5.0",,"4.84E+0%",,,,,,,,,,"",,"333.660933660934h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"CMSX-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6bce6b1a819a85d746d"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"2.31E+0%",,,,,,,,,,"",,"401.004639207573h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4ce6c1e6b1a819a85d746f"")","5.9",,,,,,,,,,,"5.0%wt.%","2.9","0.1",,"2.9",,"Bal","4.9","2.0","5.6",,"5.9",,"2.88E+0%",,,,,,,,,,"",,"404.559275280547h",,,,"Koizumi Y, Kobayashi T, Yokokawa T, et al. Development of Next-Generation Ni-Base Single Crystal Superalloys[J]. 2004, 67(9):35-43.","10.11961/mater0203.MGI.20171221.ds.0060","张瑞杰","摘录","王彬","2018-01-09","137Mpa","1100°C",,,,,,,"TMS-138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
